,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
38,LinearDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled']",{},0.056279897689819336,0.752,0.6696,0.42,0.516,0.794,0.011,0.0
39,QuadraticDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled']",{},0.05131864547729492,0.7565,0.6896,0.413,0.517,0.796,0.005,0.001
40,DecisionTreeClassifier,"['has_special_request', 'lead_time_scaled']","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8293781280517578,0.7833,0.7232,0.506,0.595,0.819,0.018,0.001
41,RandomForestClassifier,"['has_special_request', 'lead_time_scaled']","{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",218.8716218471527,0.7873,0.7342,0.51,0.602,0.823,2.483,0.128
42,GaussianNB,"['guests_per_night', 'has_special_request', 'lead_time_scaled']",{},0.18050503730773926,0.7546,0.6839,0.411,0.514,0.786,0.021,0.001
43,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled']",{'n_neighbors': 9},4.011362075805664,0.7993,0.7304,0.576,0.644,0.823,0.013,0.117
44,LogisticRegression,"['guests_per_night', 'has_special_request', 'lead_time_scaled']","{'C': 100, 'max_iter': 100}",0.5106327533721924,0.7572,0.6832,0.428,0.526,0.796,0.012,0.001
45,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled']",{},0.0576629638671875,0.7572,0.683,0.428,0.526,0.795,0.014,0.001
46,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled']",{},0.05156302452087402,0.7572,0.6911,0.415,0.518,0.793,0.013,0.001
47,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",1.0405049324035645,0.8058,0.7479,0.579,0.653,0.819,0.026,0.002
48,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled']","{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",259.090136051178,0.8106,0.7516,0.596,0.665,0.84,2.855,0.075
49,GaussianNB,['avg_price_per_room_scaled'],{},0.1179041862487793,0.6836,0.4483,0.018,0.034,0.59,0.012,0.001
