,model,columns,best_params,training_time,accuracy,precision,recall,f1,roc_auc,mean_fit_time,predict_time
143,LinearDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07775568962097168,0.7563,0.6737,0.44,0.532,0.762,0.014,0.001
144,QuadraticDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.062463998794555664,0.7479,0.634,0.473,0.542,0.747,0.008,0.002
145,DecisionTreeClassifier,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.5774462223052979,0.7912,0.7159,0.56,0.628,0.779,0.039,0.003
146,RandomForestClassifier,"['guests_per_night', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",289.7113347053528,0.793,0.711,0.578,0.638,0.826,3.218,0.164
147,GaussianNB,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.11821913719177246,0.7671,0.6596,0.539,0.593,0.784,0.022,0.003
148,KNeighborsClassifier,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 9},5.9122209548950195,0.7997,0.7256,0.586,0.648,0.834,0.015,0.288
149,LogisticRegression,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",0.9137790203094482,0.7655,0.6895,0.466,0.556,0.8,0.024,0.002
150,LinearDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07800102233886719,0.7694,0.698,0.473,0.564,0.799,0.016,0.001
151,QuadraticDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07135701179504395,0.7726,0.6626,0.567,0.611,0.788,0.009,0.002
152,DecisionTreeClassifier,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",1.6986680030822754,0.8035,0.7184,0.619,0.665,0.846,0.04,0.003
153,RandomForestClassifier,"['has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",260.1342041492462,0.8119,0.7275,0.644,0.683,0.855,2.912,0.045
154,GaussianNB,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.11617588996887207,0.7612,0.647,0.533,0.584,0.78,0.007,0.002
155,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 7},5.477077007293701,0.8147,0.7534,0.613,0.676,0.848,0.018,0.147
156,LogisticRegression,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 100, 'max_iter': 100}",0.8118140697479248,0.7687,0.6991,0.467,0.56,0.801,0.022,0.002
157,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.08972001075744629,0.7683,0.695,0.472,0.562,0.8,0.022,0.001
158,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06924986839294434,0.7634,0.6352,0.585,0.609,0.788,0.011,0.002
159,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",2.1161069869995117,0.8217,0.7627,0.63,0.69,0.811,0.05,0.003
160,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",296.6199300289154,0.8277,0.7723,0.643,0.702,0.872,3.293,0.074
161,GaussianNB,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.14148402214050293,0.6104,0.3849,0.395,0.39,0.611,0.017,0.005
162,KNeighborsClassifier,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 3},5.240665912628174,0.6911,0.5112,0.45,0.479,0.695,0.016,0.141
163,LogisticRegression,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 0.1, 'max_iter': 100}",0.5487830638885498,0.6811,0.3488,0.014,0.026,0.61,0.013,0.001
164,LinearDiscriminantAnalysis,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06120896339416504,0.6807,0.3407,0.014,0.027,0.61,0.015,0.001
165,QuadraticDiscriminantAnalysis,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06065487861633301,0.6041,0.3798,0.405,0.392,0.609,0.009,0.002
166,DecisionTreeClassifier,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.3172547817230225,0.7364,0.6142,0.44,0.512,0.749,0.03,0.018
167,RandomForestClassifier,"['avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",318.6271948814392,0.7308,0.5953,0.455,0.516,0.76,3.817,0.071
168,GaussianNB,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.0983591079711914,0.6109,0.3828,0.384,0.383,0.614,0.004,0.005
169,KNeighborsClassifier,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 3},4.614603042602539,0.7256,0.5678,0.541,0.554,0.74,0.015,0.118
170,LogisticRegression,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",0.5035979747772217,0.6801,0.368,0.021,0.04,0.613,0.012,0.001
171,LinearDiscriminantAnalysis,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.059043169021606445,0.681,0.4015,0.025,0.047,0.613,0.012,0.001
172,QuadraticDiscriminantAnalysis,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.0737459659576416,0.6192,0.3938,0.386,0.39,0.613,0.008,0.004
173,DecisionTreeClassifier,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",2.0690221786499023,0.7479,0.6154,0.533,0.571,0.751,0.059,0.003
174,RandomForestClassifier,"['guests_per_night', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",322.49990606307983,0.7456,0.6072,0.546,0.575,0.787,3.676,0.3
175,GaussianNB,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.11610126495361328,0.6964,0.5173,0.547,0.532,0.707,0.013,0.005
176,KNeighborsClassifier,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 7},4.870602130889893,0.7664,0.6569,0.542,0.594,0.792,0.023,0.133
177,LogisticRegression,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",0.49808835983276367,0.7067,0.567,0.293,0.386,0.714,0.011,0.002
178,LinearDiscriminantAnalysis,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06232500076293945,0.7078,0.5708,0.293,0.388,0.712,0.014,0.001
179,QuadraticDiscriminantAnalysis,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07521820068359375,0.706,0.5347,0.515,0.525,0.714,0.008,0.002
180,DecisionTreeClassifier,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.4144220352172852,0.7901,0.7033,0.577,0.634,0.801,0.032,0.002
181,RandomForestClassifier,"['has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",317.22797107696533,0.7878,0.693,0.586,0.635,0.821,3.649,0.238
182,GaussianNB,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.13509607315063477,0.6954,0.5155,0.556,0.535,0.707,0.02,0.001
183,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 3},5.279959678649902,0.7696,0.6423,0.607,0.624,0.785,0.025,0.124
184,LogisticRegression,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 10, 'max_iter': 100}",0.5874910354614258,0.7114,0.5785,0.31,0.404,0.714,0.013,0.001
185,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06540298461914062,0.7086,0.5711,0.302,0.395,0.713,0.017,0.002
186,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06338691711425781,0.7015,0.5274,0.507,0.517,0.714,0.009,0.001
187,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.822883129119873,0.7979,0.7075,0.611,0.656,0.81,0.053,0.003
188,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",312.4519159793854,0.8028,0.72,0.612,0.662,0.841,3.485,0.278
189,GaussianNB,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.12971115112304688,0.7448,0.6155,0.506,0.556,0.751,0.024,0.003
190,KNeighborsClassifier,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 3},4.582799911499023,0.8087,0.7132,0.657,0.684,0.831,0.016,0.109
191,LogisticRegression,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",0.578066349029541,0.7578,0.6726,0.451,0.54,0.772,0.014,0.001
192,LinearDiscriminantAnalysis,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06418085098266602,0.7569,0.668,0.454,0.541,0.772,0.013,0.001
193,QuadraticDiscriminantAnalysis,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.0630040168762207,0.7438,0.6142,0.502,0.553,0.758,0.011,0.001
194,DecisionTreeClassifier,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.7370281219482422,0.807,0.7003,0.677,0.689,0.791,0.052,0.002
195,RandomForestClassifier,"['lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",368.32620787620544,0.8228,0.7407,0.674,0.706,0.881,4.329,0.41
196,GaussianNB,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.15489721298217773,0.7406,0.6066,0.503,0.55,0.749,0.025,0.005
197,KNeighborsClassifier,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 3},4.771399021148682,0.8003,0.6963,0.65,0.672,0.826,0.016,0.129
198,LogisticRegression,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 0.1, 'max_iter': 100}",0.767085075378418,0.7578,0.6728,0.45,0.539,0.772,0.02,0.002
199,LinearDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07718801498413086,0.7567,0.6676,0.454,0.541,0.772,0.013,0.001
200,QuadraticDiscriminantAnalysis,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.062039852142333984,0.7427,0.611,0.505,0.553,0.759,0.009,0.002
201,DecisionTreeClassifier,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",2.3766720294952393,0.8117,0.6991,0.707,0.703,0.791,0.071,0.005
202,RandomForestClassifier,"['guests_per_night', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",360.44719886779785,0.831,0.7631,0.673,0.715,0.884,4.25,0.093
203,GaussianNB,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.15113496780395508,0.7729,0.6617,0.571,0.613,0.792,0.031,0.002
204,KNeighborsClassifier,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 7},5.283890962600708,0.8492,0.8047,0.689,0.742,0.888,0.022,0.131
205,LogisticRegression,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 10, 'max_iter': 100}",0.692284107208252,0.779,0.7079,0.508,0.592,0.814,0.016,0.001
206,LinearDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.06737303733825684,0.7784,0.7077,0.505,0.59,0.814,0.015,0.001
207,QuadraticDiscriminantAnalysis,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07014918327331543,0.7868,0.6744,0.625,0.649,0.803,0.008,0.002
208,DecisionTreeClassifier,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",2.1752052307128906,0.8517,0.7943,0.714,0.752,0.876,0.063,0.002
209,RandomForestClassifier,"['has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",343.74585914611816,0.8714,0.8341,0.739,0.784,0.919,4.023,0.148
210,GaussianNB,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.09557509422302246,0.7689,0.655,0.563,0.606,0.79,0.014,0.001
211,KNeighborsClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{'n_neighbors': 5},6.192836046218872,0.8463,0.7897,0.698,0.741,0.876,0.03,0.157
212,LogisticRegression,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'C': 1, 'max_iter': 100}",1.1430027484893799,0.779,0.7079,0.508,0.592,0.814,0.025,0.002
213,LinearDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07847189903259277,0.7785,0.7079,0.506,0.59,0.814,0.017,0.002
214,QuadraticDiscriminantAnalysis,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']",{},0.07364583015441895,0.7873,0.6784,0.618,0.647,0.803,0.012,0.002
215,DecisionTreeClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",2.8864870071411133,0.8484,0.7588,0.761,0.76,0.84,0.081,0.006
216,RandomForestClassifier,"['guests_per_night', 'has_special_request', 'lead_time_scaled', 'avg_price_per_room_scaled', 'season_Spring', 'season_Summer', 'season_Winter']","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",342.75278520584106,0.8804,0.8519,0.751,0.798,0.924,3.963,0.26
